X,y
"[ 0 10 10 10  5  5  0 19 19 19 19 11 11  8  0  2  2  2  2 10  8  7  7  0
  1 10  0 18 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8  8 10
  0  0 19  8  8  1  7 10  5]",[0]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[10 10 10 10  5  5  0 19 19 19 19 11 11 11  8  0  2  2  2  2 10  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 13 13 13 13  1  7  5  2  5 10 10  5  8
  8 10  0  0 19 12  8  8  1  7 10  5]",[10]
"[ 5  5  0  0 19 19 19 19 11 11 11  8  0  2  2  2  2  2  2 10  2  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 10 10 13 13 13 13 13  1  7  5 13  2  0
  0  5 10 10  5  8  8 10  0  0 19 12  8  8  1  7 10  5  5]",[5]
"[ 5  5  0  0 19 19 19 19 11 11 11  8  0  2  2  2  2  2  2 10  2  8  7  7
  0  1 10  0 18 10 10 10 10 10 10 10 10 13 13 13 13 13  1  7  5 13  2  0
  0  5 10 10  5  8  8 10  0  0 19 12  8  8  1  7 10  5  5]",[5]
"[ 0  0 19 19 19 19 11 11 11  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7
  0  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13
  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  4 12  8  8  1  7 10 10  5  5  5]",[0]
"[ 0 19 19 19 19 11 11 11  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0
  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13  1
  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10 10
 19  8  4 12  8  8  1  7 10 10  5  5  5]",[0]
"[19 19 19 19 11 11 11  8  8  0  0  2  2  2  2  2  2 10  2  8  8  7  7  0
  1  1 10 18 10  0 18 10 10 10 10 10 10 10 10 10  5  5 13 13 13 13 13 13
  1  7  5 10 13  2  0  0  5 10 10  5  8  8  2  2 10  8  8  8  0  0  0 10
 10 19  8  4 12  8  8  1  7 10 10  5  5  5]",[19]
